index,Year,Country Code,GDP,Population,Urban Population,Ecological Footprint,Biocapacity,Temperature,Precipitation,CO2,CH4,Water Vapor,Aerosol
129,2024,124,1767389954618,38867000,82.0,318175771.654359,547669307.8151850,273.8486654,2.7E-05,0.000427542488,1.96E-06,11.61374203,0.06377023355
130,2024,203,231552232316,10622000,74.7,60913950.21684690,25828088.655805800,283.0885554,2.31E-05,0.0004275490789,1.96E-06,16.560191,0.1078278527
131,2024,208,359439721371,5890000,88.6,40934549.17372920,22607361.87421480,278.3021466,3.53E-05,0.0004275467274,1.96E-06,13.08340091,0.07942835209
132,2024,246,268692761650,5653000,85.9,33585188.19601210,67184201.96030630,274.6285982,2.48E-05,0.0004275387679,1.96E-06,11.1752468,0.0808641226
133,2024,250,2722126974801,66625000,82.0,294290257.20947100,163332711.0326940,285.1989199,3.42E-05,0.0004275506816,1.96E-06,17.78888902,0.1058223079
134,2024,276,3786265810310,82506000,77.9,388735798.96699500,126690471.92425900,283.2365381,2.88E-05,0.0004275499498,1.96E-06,16.44195269,0.1062252722
135,2024,300,216273076871,10978000,81.0,44018748.7419901,13400441.28002150,287.8108075,2.68E-05,0.0004275526158,1.96E-06,18.08034647,0.1540147275
136,2024,348,164567068329,9477000,73.2,36708442.67512350,25354167.88997360,282.559159,2.89E-05,0.0004275547494,1.96E-06,16.53275346,0.1159177044
138,2024,372,445083889951,5031000,64.8,26367471.407175600,14790186.225662000,284.0616319,3.65E-05,0.000427545099,1.96E-06,16.2584876,0.1053314729
139,2024,380,1950344950834,58728000,72.3,269131612.5292790,50048469.7034104,285.4665906,3.63E-05,0.0004275546079,1.96E-06,16.76035124,0.1094811558
140,2024,392,4657995399665,124796000,92.1,616773783.6505070,72754673.43851280,282.8569351,3.62E-05,0.0004275476524,1.96E-06,18.19362063,0.2041631724
141,2024,410,1828495775078,52093000,81.5,353943401.7346330,32762773.28653620,284.2697133,2.8E-05,0.0004275503292,1.96E-06,18.41353227,0.283535404
142,2024,442,77172093779,634000,92.3,7830440.203505800,700687.3654138360,284.8707241,3.33E-05,0.000427547837,1.96E-06,17.8977974,0.1111482885
143,2024,484,1362203381416,139744000,81.9,327273084.0054350,146581256.47275600,295.9112119,3.39E-05,0.0004275473354,1.96E-06,29.42467388,0.08299314356
144,2024,528,890045316002,17371000,93.5,110886301.45854800,13001448.72926290,283.5166905,2.86E-05,0.0004275473466,1.96E-06,16.52719074,0.1058766873
145,2024,554,233318625068,4994000,87.1,26165046.745897000,41696134.920633300,287.6834872,3.71E-05,0.0004275462086,1.96E-06,18.33977762,0.09092655478
146,2024,578,444831829987,5656000,84.3,30806327.66892530,37065577.04009260,276.379519,2.96E-05,0.0004275412337,1.96E-06,11.58493402,0.08389437452
147,2024,616,636713038902,37504000,60.3,186699183.01984100,76058993.68622510,281.9537102,2.63E-05,0.0004275489984,1.96E-06,16.00872587,0.1008357229
148,2024,620,236073331024,10081000,68.4,49810948.41815180,13620971.712515300,288.0473963,4.61E-05,0.0004275466972,1.96E-06,20.48168008,0.1079144042
150,2024,724,1389265378856,46346000,81.8,253172634.3444490,71233226.82997830,287.7393388,4.09E-05,0.0004275471892,1.96E-06,20.03358563,0.1006703111
151,2024,752,596215985689,10376000,89.0,60052678.758744300,90176515.79384790,276.8117381,2.79E-05,0.0004275427126,1.96E-06,12.12921773,0.07618634218
152,2024,756,808646039093,8901000,74.3,38010991.7369623,8634208.221237110,293.9390049,2.71E-05,0.0004275449513,1.96E-06,26.44328562,0.1614613646
153,2024,792,1233220540438,85752000,77.9,303023966.6789130,111349665.50852700,285.2960795,3.14E-05,0.0004275513666,1.96E-06,16.13542766,0.1602831477
154,2024,826,3355774377809,68745000,84.9,271864557.539165,71155970.46865600,283.9609064,3.13E-05,0.0004275433937,1.96E-06,16.31337836,0.10385482
155,2024,840,22091941121638,340895000,83.5,2921895042.311270,1121841530.450630,286.7297539,3.62E-05,0.0004275482711,1.96E-06,19.370135,0.07150268372
